"PWSID","LAT","LON","SOURCE"
"AL0000189",34.17992164,-85.76768025,"PWS Shapefile Centroid"
"AL0000219",32.95992176,-86.74029335,"PWS Shapefile Centroid"
"AL0000229",32.91963358,-86.71630626,"PWS Shapefile Centroid"
"AL0000232",32.08702994,-88.2137075,"PWS Shapefile Centroid"
"AL0000237",31.87123841,-88.315849,"PWS Shapefile Centroid"
"AL0000243",32.16766914,-88.28762052,"PWS Shapefile Centroid"
"AL0000255",31.69989416,-87.77403689,"PWS Shapefile Centroid"
"AL0000257",31.47438979,-87.7314646,"PWS Shapefile Centroid"
"AL0000262",31.90810805,-87.74175421,"PWS Shapefile Centroid"
"AL0000264",33.26803065,-85.83442149,"PWS Shapefile Centroid"
"AL0000279",33.6483272,-85.55953525,"PWS Shapefile Centroid"
"AL0000296",31.33530959,-85.84282512,"PWS Shapefile Centroid"
"AL0000314",34.73762775,-87.84186863,"PWS Shapefile Centroid"
"AL0000320",34.65720734,-87.7058805,"PWS Shapefile Centroid"
"AL0000329",34.71873816,-87.606552,"PWS Shapefile Centroid"
"AL0000331",34.72234601,-87.70253097,"PWS Shapefile Centroid"
"AL0000338",31.43201571,-86.95654131,"PWS Shapefile Centroid"
"AL0000354",33.1092421,-86.24228092,"PWS Shapefile Centroid"
"AL0000356",31.30770457,-86.48265441,"PWS Shapefile Centroid"
"AL0000361",31.23329208,-86.5208251,"PWS Shapefile Centroid"
"AL0000375",31.28297634,-86.2565704,"PWS Shapefile Centroid"
"AL0000393",31.44002668,-86.92005712,"PWS Shapefile Centroid"
"AL0000397",31.66166343,-86.16955575,"PWS Shapefile Centroid"
"AL0000406",34.06126848,-86.761458,"PWS Shapefile Centroid"
"AL0000409",34.29364146,-86.55538534,"PWS Shapefile Centroid"
"AL0000413",34.27098592,-86.92687807,"PWS Shapefile Centroid"
"AL0000420",31.30536845,-85.724573,"PWS Shapefile Centroid"
"AL0000463",32.3436453,-86.977441,"PWS Shapefile Centroid"
"AL0000491",32.2377781,-87.23109047,"PWS Shapefile Centroid"
"AL0000500",32.26257691,-86.98889966,"PWS Shapefile Centroid"
"AL0000509",34.45879913,-85.70163712,"PWS Shapefile Centroid"
"AL0000533",32.63564167,-86.02814271,"PWS Shapefile Centroid"
"AL0000535",32.5591964,-86.32076828,"PWS Shapefile Centroid"
"AL0000537",32.52890921,-85.9949496,"PWS Shapefile Centroid"
"AL0000540",32.6049891,-86.28246575,"PWS Shapefile Centroid"
"AL0000547",32.47079393,-86.12034011,"PWS Shapefile Centroid"
"AL0000548",32.52490534,-85.86591125,"PWS Shapefile Centroid"
"AL0000551",32.53440073,-86.19504574,"PWS Shapefile Centroid"
"AL0000553",31.03455324,-87.49272573,"PWS Shapefile Centroid"
"AL0000555",31.14286814,-87.06460765,"PWS Shapefile Centroid"
"AL0000561",31.08173987,-87.51873852,"PWS Shapefile Centroid"
"AL0000570",31.03365593,-87.02433034,"PWS Shapefile Centroid"
"AL0000572",33.99009093,-86.1099515,"PWS Shapefile Centroid"
"AL0000575",33.94075296,-85.84558324,"PWS Shapefile Centroid"
"AL0000577",34.01187206,-85.99933917,"PWS Shapefile Centroid"
"AL0000578",33.95455508,-85.93854425,"PWS Shapefile Centroid"
"AL0000580",34.07564408,-85.98963456,"PWS Shapefile Centroid"
"AL0000581",33.9774146,-85.882659,"PWS Shapefile Centroid"
"AL0000582",34.07169428,-86.14851109,"PWS Shapefile Centroid"
"AL0000594",33.69700773,-87.8267365,"PWS Shapefile Centroid"
"AL0000596",33.65628753,-87.60796712,"PWS Shapefile Centroid"
"AL0000597",33.69383975,-87.82993675,"PWS Shapefile Centroid"
"AL0000607",34.44901922,-88.13384136,"PWS Shapefile Centroid"
"AL0000610",34.50071241,-87.72748422,"PWS Shapefile Centroid"
"AL0000624",31.11259471,-85.68935,"PWS Shapefile Centroid"
"AL0000629",31.11027747,-85.595282,"PWS Shapefile Centroid"
"AL0000657",31.55849768,-85.25180336,"PWS Shapefile Centroid"
"AL0000677",31.04821815,-85.2900015,"PWS Shapefile Centroid"
"AL0000681",31.2255179,-85.42074036,"PWS Shapefile Centroid"
"AL0000702",31.16621364,-85.47491292,"PWS Shapefile Centroid"
"AL0000713",34.9498258,-85.72447793,"PWS Shapefile Centroid"
"AL0000728",34.51503799,-85.85216151,"PWS Shapefile Centroid"
"AL0000729",34.65506718,-86.03388847,"PWS Shapefile Centroid"
"AL0000737",33.37055327,-86.98233475,"PWS Shapefile Centroid"
"AL0000738",33.51776871,-86.79286691,"PWS Shapefile Centroid"
"AL0000751",33.53367648,-86.67368176,"PWS Shapefile Centroid"
"AL0000755",33.54288873,-86.9917725,"PWS Shapefile Centroid"
"AL0000761",33.64082505,-86.59678055,"PWS Shapefile Centroid"
"AL0000763",33.30346173,-87.02009464,"PWS Shapefile Centroid"
"AL0000773",33.76089107,-88.11577833,"PWS Shapefile Centroid"
"AL0000783",34.83597611,-87.6686269,"PWS Shapefile Centroid"
"AL0000814",32.57464361,-85.593791,"PWS Shapefile Centroid"
"AL0000816",32.64443887,-85.37995561,"PWS Shapefile Centroid"
"AL0000820",32.53329284,-85.123155,"PWS Shapefile Centroid"
"AL0000824",34.7999182,-86.98828025,"PWS Shapefile Centroid"
"AL0000833",34.76117981,-87.025134,"PWS Shapefile Centroid"
"AL0000867",32.36029374,-85.85209036,"PWS Shapefile Centroid"
"AL0000878",34.88419768,-86.77841977,"PWS Shapefile Centroid"
"AL0000882",34.68494982,-86.59715163,"PWS Shapefile Centroid"
"AL0000885",34.72617465,-86.81974584,"PWS Shapefile Centroid"
"AL0000897",34.57937648,-86.4318805,"PWS Shapefile Centroid"
"AL0000899",34.5345436,-86.612678,"PWS Shapefile Centroid"
"AL0000908",32.51005386,-87.83860174,"PWS Shapefile Centroid"
"AL0000924",33.97706897,-87.92209,"PWS Shapefile Centroid"
"AL0000926",34.13956127,-87.99391559,"PWS Shapefile Centroid"
"AL0000930",33.93414526,-87.79094225,"PWS Shapefile Centroid"
"AL0000933",34.26636731,-86.21630383,"PWS Shapefile Centroid"
"AL0000935",34.34885729,-86.1637095,"PWS Shapefile Centroid"
"AL0000940",34.2141773,-86.2937922,"PWS Shapefile Centroid"
"AL0000943",34.31677034,-86.3086313,"PWS Shapefile Centroid"
"AL0000945",34.50735802,-86.2505461,"PWS Shapefile Centroid"
"AL0000947",34.17651753,-86.11653089,"PWS Shapefile Centroid"
"AL0000957",30.39778612,-88.249001,"PWS Shapefile Centroid"
"AL0000967",30.79311396,-88.262593,"PWS Shapefile Centroid"
"AL0000983",30.47268203,-88.34403494,"PWS Shapefile Centroid"
"AL0000993",30.8199176,-88.1906072,"PWS Shapefile Centroid"
"AL0000994",30.90283631,-88.02711225,"PWS Shapefile Centroid"
"AL0001002",30.58197072,-88.19550837,"PWS Shapefile Centroid"
"AL0001015",30.76739394,-88.14548575,"PWS Shapefile Centroid"
"AL0001022",30.86293527,-88.05185221,"PWS Shapefile Centroid"
"AL0001031",30.46619489,-88.24683978,"PWS Shapefile Centroid"
"AL0001046",31.45599106,-87.34002903,"PWS Shapefile Centroid"
"AL0001056",31.30851723,-87.50112246,"PWS Shapefile Centroid"
"AL0001070",32.33841278,-86.21142073,"PWS Shapefile Centroid"
"AL0001073",32.26010001,-86.3674031,"PWS Shapefile Centroid"
"AL0001084",34.56667435,-86.99955627,"PWS Shapefile Centroid"
"AL0001086",34.43990381,-86.9340824,"PWS Shapefile Centroid"
"AL0001088",34.49641113,-86.86396065,"PWS Shapefile Centroid"
"AL0001097",32.62379655,-87.31474156,"PWS Shapefile Centroid"
"AL0001102",33.12940984,-88.143478,"PWS Shapefile Centroid"
"AL0001106",33.19501379,-88.19088431,"PWS Shapefile Centroid"
"AL0001110",31.72662518,-85.82122867,"PWS Shapefile Centroid"
"AL0001120",31.78818668,-85.95349775,"PWS Shapefile Centroid"
"AL0001124",31.793183,-85.95644991,"PWS Shapefile Centroid"
"AL0001127",33.14629282,-85.3692745,"PWS Shapefile Centroid"
"AL0001142",32.46846906,-85.03475149,"PWS Shapefile Centroid"
"AL0001145",32.36092281,-85.04607525,"PWS Shapefile Centroid"
"AL0001148",33.22251314,-86.8304205,"PWS Shapefile Centroid"
"AL0001149",33.1882784,-86.52323405,"PWS Shapefile Centroid"
"AL0001150",33.10101033,-86.73215525,"PWS Shapefile Centroid"
"AL0001160",33.05570317,-86.79484075,"PWS Shapefile Centroid"
"AL0001164",33.45437787,-86.4931185,"PWS Shapefile Centroid"
"AL0001176",33.8331931,-86.24629489,"PWS Shapefile Centroid"
"AL0001203",33.67141523,-86.4137603,"PWS Shapefile Centroid"
"AL0001204",33.58550001,-86.30164475,"PWS Shapefile Centroid"
"AL0001209",33.63242592,-86.17568075,"PWS Shapefile Centroid"
"AL0001216",33.62535439,-86.269519,"PWS Shapefile Centroid"
"AL0001220",32.58897796,-88.18629412,"PWS Shapefile Centroid"
"AL0001222",32.48797236,-88.3853473,"PWS Shapefile Centroid"
"AL0001236",33.19437287,-86.4840085,"PWS Shapefile Centroid"
"AL0001258",33.16529684,-86.2616965,"PWS Shapefile Centroid"
"AL0001265",32.94009328,-85.94691757,"PWS Shapefile Centroid"
"AL0001273",32.82677758,-85.75697983,"PWS Shapefile Centroid"
"AL0001289",32.72036177,-85.8660335,"PWS Shapefile Centroid"
"AL0001290",33.25974901,-87.74630325,"PWS Shapefile Centroid"
"AL0001298",33.16810495,-87.34600512,"PWS Shapefile Centroid"
"AL0001302",33.05000676,-87.7276785,"PWS Shapefile Centroid"
"AL0001306",33.12391654,-87.48579282,"PWS Shapefile Centroid"
"AL0001307",33.27779851,-87.59532013,"PWS Shapefile Centroid"
"AL0001313",33.1858605,-87.51779741,"PWS Shapefile Centroid"
"AL0001322",33.82110581,-87.1767315,"PWS Shapefile Centroid"
"AL0001326",33.76023162,-87.18227802,"PWS Shapefile Centroid"
"AL0001344",33.73806889,-87.2743965,"PWS Shapefile Centroid"
"AL0001351",33.73756268,-87.0010575,"PWS Shapefile Centroid"
"AL0001363",31.27165144,-88.0191481,"PWS Shapefile Centroid"
"AL0001368",31.21895502,-88.310915,"PWS Shapefile Centroid"
"AL0001402",34.19686737,-87.18593633,"PWS Shapefile Centroid"
"AL0001410",34.14637712,-87.40006729,"PWS Shapefile Centroid"
"AL0001411",34.23540532,-87.62169738,"PWS Shapefile Centroid"
"AL0001420",34.9827751,-86.8409775,"PWS Shapefile Centroid"
"AL0001426",31.57579623,-87.2723655,"PWS Shapefile Centroid"
"AL0001432",33.98958319,-87.2466845,"PWS Shapefile Centroid"
"AL0001434",33.5739249,-86.480213,"PWS Shapefile Centroid"
"AL0001437",33.4820742,-86.3140125,"PWS Shapefile Centroid"
"AL0001439",32.32114103,-87.804992,"PWS Shapefile Centroid"
"AL0001489",31.33437267,-85.725599,"PWS Shapefile Centroid"
"AL0001500",34.51232762,-87.89315815,"PWS Shapefile Centroid"
"AL0001506",32.0528521,-87.79835265,"PWS Shapefile Centroid"
"AL0001507",31.79165941,-86.64883982,"PWS Shapefile Centroid"
"AL0001508",31.9572764,-86.31530654,"PWS Shapefile Centroid"
"AL0001512",32.28265313,-86.61118552,"PWS Shapefile Centroid"
"AL0001537",33.32001526,-85.55089805,"PWS Shapefile Centroid"
"AL0001540",33.23904884,-87.32692959,"PWS Shapefile Centroid"
"AL0001671",33.33898843,-86.60995252,"PWS Shapefile Centroid"
"AL0001716",34.1256895,-87.81381118,"PWS Shapefile Centroid"
"AL0001739",33.43918969,-86.27846504,"PWS Shapefile Centroid"
"AL0001748",34.62101744,-86.28531475,"PWS Shapefile Centroid"
"AL0001750",32.5230633,-86.69722205,"PWS Shapefile Centroid"
"AL0001755",31.16159675,-85.3886935,"PWS Shapefile Centroid"
"AL0001770",30.59992666,-87.6896475,"PWS Shapefile Centroid"
"AL0001796",34.69469629,-85.6697315,"PWS Shapefile Centroid"
"AR0000004",35.01143661,-90.77474272,"PWS Shapefile Centroid"
"AR0000013",34.49731612,-91.54849608,"PWS Shapefile Centroid"
"AR0000015",33.23086211,-91.85813371,"PWS Shapefile Centroid"
"AR0000017",33.14152707,-92.0232015,"PWS Shapefile Centroid"
"AR0000025",36.32017709,-92.40466299,"PWS Shapefile Centroid"
"AR0000027",36.38850723,-92.46006342,"PWS Shapefile Centroid"
"AR0000037",36.39617775,-94.07491421,"PWS Shapefile Centroid"
"AR0000039",36.46313061,-94.26866252,"PWS Shapefile Centroid"
"AR0000041",36.35720723,-94.23039835,"PWS Shapefile Centroid"
"AR0000044",36.39418502,-94.3355433,"PWS Shapefile Centroid"
"AR0000051",36.42530472,-94.51250502,"PWS Shapefile Centroid"
"AR0000052",36.32421276,-94.47962158,"PWS Shapefile Centroid"
"AR0000055",36.30752116,-94.17677836,"PWS Shapefile Centroid"
"AR0000056",36.19529081,-94.51213294,"PWS Shapefile Centroid"
"AR0000066",33.6121552,-92.0701805,"PWS Shapefile Centroid"
"AR0000074",36.37952351,-93.57505367,"PWS Shapefile Centroid"
"AR0000077",36.34104087,-93.36572614,"PWS Shapefile Centroid"
"AR0000085",34.00148573,-93.11392258,"PWS Shapefile Centroid"
"AR0000096",36.41274988,-90.59038535,"PWS Shapefile Centroid"
"AR0000101",35.56673066,-92.12453487,"PWS Shapefile Centroid"
"AR0000104",35.48510793,-91.97542364,"PWS Shapefile Centroid"
"AR0000124",35.84873366,-90.69393937,"PWS Shapefile Centroid"
"AR0000138",35.57162608,-94.36305582,"PWS Shapefile Centroid"
"AR0000144",35.48760591,-94.18914317,"PWS Shapefile Centroid"
"AR0000145",35.55304496,-94.17162496,"PWS Shapefile Centroid"
"AR0000156",35.15249237,-90.20006054,"PWS Shapefile Centroid"
"AR0000163",35.23162111,-90.79014166,"PWS Shapefile Centroid"
"AR0000164",33.81837022,-92.41617133,"PWS Shapefile Centroid"
"AR0000171",33.88415317,-91.48336311,"PWS Shapefile Centroid"
"AR0000184",33.60411368,-91.80756918,"PWS Shapefile Centroid"
"AR0000189",35.08127395,-92.43285169,"PWS Shapefile Centroid"
"AR0000191",35.20664126,-92.38069281,"PWS Shapefile Centroid"
"AR0000193",34.97344236,-92.53415867,"PWS Shapefile Centroid"
"AR0000195",35.11788722,-92.23123246,"PWS Shapefile Centroid"
"AR0000196",35.22382085,-92.4590709,"PWS Shapefile Centroid"
"AR0000208",34.65674179,-92.95081034,"PWS Shapefile Centroid"
"AR0000209",34.50325072,-93.26365463,"PWS Shapefile Centroid"
"AR0000213",34.19695996,-92.22243573,"PWS Shapefile Centroid"
"AR0000214",34.37989257,-92.28565148,"PWS Shapefile Centroid"
"AR0000219",34.2351172,-92.45523411,"PWS Shapefile Centroid"
"AR0000222",36.05608749,-90.51412881,"PWS Shapefile Centroid"
"AR0000244",33.94221457,-93.8510923,"PWS Shapefile Centroid"
"AR0000250",35.77812534,-91.64404259,"PWS Shapefile Centroid"
"AR0000254",35.67074867,-91.65279111,"PWS Shapefile Centroid"
"AR0000284",34.16694244,-92.135464,"PWS Shapefile Centroid"
"AR0000286",35.43788268,-93.58545189,"PWS Shapefile Centroid"
"AR0000289",35.45642524,-93.48223884,"PWS Shapefile Centroid"
"AR0000313",34.64455209,-90.90761316,"PWS Shapefile Centroid"
"AR0000315",34.05777721,-91.59442623,"PWS Shapefile Centroid"
"AR0000320",33.67455982,-94.12644725,"PWS Shapefile Centroid"
"AR0000326",35.14441083,-93.95145631,"PWS Shapefile Centroid"
"AR0000328",35.28838405,-93.72597131,"PWS Shapefile Centroid"
"AR0000345",34.95401718,-91.97480055,"PWS Shapefile Centroid"
"AR0000349",35.91832648,-93.62014199,"PWS Shapefile Centroid"
"AR0000360",33.3852252,-94.00601858,"PWS Shapefile Centroid"
"AR0000365",35.9238222,-89.89290955,"PWS Shapefile Centroid"
"AR0000378",35.88221118,-90.16244985,"PWS Shapefile Centroid"
"AR0000394",33.80162313,-93.34633445,"PWS Shapefile Centroid"
"AR0000404",33.54332805,-92.8850562,"PWS Shapefile Centroid"
"AR0000416",34.54532281,-90.646566,"PWS Shapefile Centroid"
"AR0000419",34.52403057,-90.6089302,"PWS Shapefile Centroid"
"AR0000421",34.55634381,-90.9153619,"PWS Shapefile Centroid"
"AR0000431",35.5568552,-90.72377178,"PWS Shapefile Centroid"
"AR0000438",34.54284117,-94.12950189,"PWS Shapefile Centroid"
"AR0000441",35.20687774,-92.9445224,"PWS Shapefile Centroid"
"AR0000445",35.23147042,-93.06830563,"PWS Shapefile Centroid"
"AR0000449",34.85047555,-91.63162495,"PWS Shapefile Centroid"
"AR0000459",35.13852157,-91.12799447,"PWS Shapefile Centroid"
"AR0000474",36.26283518,-90.97152663,"PWS Shapefile Centroid"
"AR0000486",34.61545637,-92.49090617,"PWS Shapefile Centroid"
"AR0000488",34.50606555,-92.6391547,"PWS Shapefile Centroid"
"AR0000492",34.66730309,-92.58257347,"PWS Shapefile Centroid"
"AR0000495",34.50024388,-92.70591254,"PWS Shapefile Centroid"
"AR0000504",35.2020963,-94.23799788,"PWS Shapefile Centroid"
"AR0000506",35.02365826,-94.37934135,"PWS Shapefile Centroid"
"AR0000510",35.32957067,-94.16727348,"PWS Shapefile Centroid"
"AR0000513",34.96977283,-94.21251982,"PWS Shapefile Centroid"
"AR0000520",34.04273961,-94.34286615,"PWS Shapefile Centroid"
"AR0000521",36.30408064,-91.60587191,"PWS Shapefile Centroid"
"AR0000542",35.89480943,-92.1001664,"PWS Shapefile Centroid"
"AR0000550",33.21168709,-92.63856153,"PWS Shapefile Centroid"
"AR0000569",36.08112504,-94.13319899,"PWS Shapefile Centroid"
"AR0000572",35.9910058,-94.45849072,"PWS Shapefile Centroid"
"AR0000574",35.90456131,-94.23601654,"PWS Shapefile Centroid"
"AR0000579",35.66379589,-91.83241699,"PWS Shapefile Centroid"
"AR0000583",35.4161327,-91.67570427,"PWS Shapefile Centroid"
"AR0000590",35.2413401,-91.80132503,"PWS Shapefile Centroid"
"AR0000594",35.07974681,-91.75186533,"PWS Shapefile Centroid"
"AR0000599",35.25827408,-91.19570127,"PWS Shapefile Centroid"
"AR0000622",33.06999123,-92.28789543,"PWS Shapefile Centroid"
"AR0000646",34.55174867,-92.31435765,"PWS Shapefile Centroid"
"AR0000668",35.98359894,-94.06177352,"PWS Shapefile Centroid"
"AR0000674",35.38497353,-93.95085864,"PWS Shapefile Centroid"
"AR0000688",36.11959558,-91.21480618,"PWS Shapefile Centroid"
"AR0000704",36.07544381,-90.64030544,"PWS Shapefile Centroid"
"AR0000722",36.2301442,-90.44769763,"PWS Shapefile Centroid"
"AR0000725",34.97322633,-92.1382287,"PWS Shapefile Centroid"
