PWSID,LAT,LON,POP_SERVED,AREA_sqm
063506233,32.94220401,-105.8288412,173,111316.2788
063568423,35.64096787,-106.3051624,450,82700325.03
070000002,39.66650427,-95.54670115,1949,48198.82152
070000003,41.9907368,-92.65326901,4765,1409894.821
070000004,42.83848744,-97.84982214,630,1510995.47
070000005,42.23812625,-96.47050775,787,2044936.614
070000006,42.22909131,-96.4544934,160,56167.861
070000007,42.14515458,-96.49244086,1800,66754.18266
070000008,39.98052428,-95.39654423,192,1957058.988
070000013,39.84007585,-95.53139113,54,109410.2192
080890001,37.1789107,-107.4986284,1527,346517934.1
080890010,37.20813729,-108.7263005,2300,3447816.288
083090003,48.54446246,-113.024987,56,6079021.987
083090004,48.81308063,-113.4182605,645,714709.9489
083090005,48.28936942,-112.8336113,400,987460.7435
083090007,48.58964414,-113.140695,250,96548.09167
083090009,48.28602847,-112.829833,250,164189.1501
083090011,45.61125406,-107.4576993,1300,2664384.713
083090012,45.42686089,-108.5363108,406,120171.3154
083090014,45.12882715,-107.3945361,261,223684.6338
083090022,47.83894856,-114.2987018,25,198530.8585
083090023,47.32924093,-114.2943497,72,47230.51913
083090024,47.83181489,-114.3519515,210,260212.5383
083090025,47.0700155,-114.0611556,40,101726.7171
083090026,48.04250173,-115.0848451,38,66837.55754
083090029,47.30884074,-114.0269619,87,731517.7599
083090030,47.10255298,-114.0351858,85,3282922.306
083090031,47.31418664,-114.0947276,356,480588.7333
083090032,47.66959262,-114.081828,225,1708526.611
083090033,47.51318769,-114.0511067,101,83429.70925
083090034,47.31398666,-114.31259,216,1051469.543
083090036,47.52615794,-114.0783485,250,208332.3616
083090038,47.07237432,-114.0645515,32,172222.7376
083090041,48.47070389,-108.7470048,2100,3393402.962
083090044,47.98248022,-108.6890576,840,1208851.427
083090045,48.04782098,-108.7101871,80,956261.8666
083090047,48.02947517,-108.5367606,220,248025.1138
083090050,48.09219042,-105.6421554,1726,3035497.256
083090051,48.11008336,-105.1958025,3025,2223523.172
083090053,48.05074093,-106.0184687,452,4094240.142
083090057,48.15514994,-104.9050245,375,1705463.161
083090058,48.0941809,-105.6358041,3000,5213922.497
083090061,45.59149654,-106.2968295,265,13319.70623
083090062,45.41496887,-106.4671533,96,33231.65701
083090063,45.53380213,-106.957839,535,981924.9356
083090064,45.61778747,-106.6802133,3160,2501774.875
083090074,48.28393228,-109.8527587,400,1133668.777
083090075,48.31743376,-109.99512,2000,2418843.394
083090079,48.25876832,-109.7606298,1442,38148.33357
083090090,48.44197647,-113.2171188,1504,482579.9744
083090091,48.58052335,-113.0243527,4671,1430120.886
083090305,47.15838968,-114.057562,66,76487.43333
083090309,47.79645394,-114.2794095,66,154875.0963
083890001,47.72957246,-102.6759326,1800,460457.4209
083890002,47.66693392,-101.832759,792,2567608.714
083890003,47.5169692,-102.2712871,621,80016.38575
083890015,47.98546149,-102.5885902,1200,1850797.09
083890023,48.82654428,-99.76100125,13500,5011777.055
083890025,47.89472487,-98.89398145,4400,119602.0325
083890029,47.98888583,-102.4887558,2528,11743416.28
083890030,47.9763952,-102.1379283,903,11220603.32
084690020,43.14263919,-100.9023286,2450,837165.5463
084690021,43.12782896,-102.1013498,2179,202419.0419
084690022,43.31163121,-102.359909,1500,2204262.021
084690025,43.54990921,-101.66796,195,93799.39539
084690027,44.34809845,-100.3033918,265,3183279.663
084690437,44.24622028,-99.45455465,516,72429.34568
084690440,44.06166462,-99.444078,1357,2831150.712
084690441,44.07413465,-99.58375463,2108,1316929.649
